dataset,scenario,details,user,start,end
2,1,r2.csv,ONS0995,3/6/2010 1:41:56,3/20/2010 8:10:12
3.1,1,r3.1-1.csv,CSF0929,07/01/2010 01:24:58,07/16/2010 06:52:00
3.1,2,r3.1-2.csv,CCH0959,08/02/2010 10:34:31,09/30/2010 15:04:03
3.2,1,r3.2-1.csv,RCW0822,09/29/2010 21:10:27,10/15/2010 06:34:52
3.2,2,r3.2-2.csv,JCE0258,07/12/2010 08:16:02,09/03/2010 16:16:29
4.1,1,r4.1-1.csv,ABB0427,08/21/2010 05:20:34,08/27/2010 05:39:51
4.1,2,r4.1-2.csv,HFC0492,08/23/2010 10:40:56,10/14/2010 17:11:42
4.1,3,r4.1-3.csv,KTW0365,07/08/2010 11:51:00,07/09/2010 20:54:16
4.2,1,r4.2-1-AAM0658.csv,AAM0658,10/23/2010 01:34:19,10/29/2010 05:23:28
4.2,1,r4.2-1-AJR0932.csv,AJR0932,09/10/2010 19:12:01,09/18/2010 02:02:51
4.2,1,r4.2-1-BDV0168.csv,BDV0168,07/30/2010 19:56:44,08/10/2010 05:16:41
4.2,1,r4.2-1-BIH0745.csv,BIH0745,07/13/2010 20:15:23,07/13/2010 21:20:44
4.2,1,r4.2-1-BLS0678.csv,BLS0678,09/21/2010 01:16:22,09/30/2010 04:48:19
4.2,1,r4.2-1-BTL0226.csv,BTL0226,10/06/2010 22:25:52,10/14/2010 06:43:29
4.2,1,r4.2-1-CAH0936.csv,CAH0936,08/11/2010 04:00:08,08/12/2010 23:56:19
4.2,1,r4.2-1-DCH0843.csv,DCH0843,02/04/2011 07:08:00,02/04/2011 07:36:05
4.2,1,r4.2-1-EHB0824.csv,EHB0824,07/22/2010 21:48:43,07/29/2010 01:08:41
4.2,1,r4.2-1-EHD0584.csv,EHD0584,10/02/2010 03:46:16,10/08/2010 22:26:26
4.2,1,r4.2-1-FMG0527.csv,FMG0527,01/05/2011 21:53:29,01/12/2011 01:15:35
4.2,1,r4.2-1-FTM0406.csv,FTM0406,11/25/2010 06:35:11,12/02/2010 00:35:19
4.2,1,r4.2-1-GHL0460.csv,GHL0460,11/09/2010 06:28:40,11/09/2010 07:08:45
4.2,1,r4.2-1-HJB0742.csv,HJB0742,11/19/2010 05:53:16,11/25/2010 04:51:16
4.2,1,r4.2-1-JMB0308.csv,JMB0308,07/14/2010 00:56:15,07/21/2010 01:46:49
4.2,1,r4.2-1-JRG0207.csv,JRG0207,01/19/2011 20:25:05,01/26/2011 02:38:27
4.2,1,r4.2-1-KLH0596.csv,KLH0596,02/12/2011 07:11:50,02/12/2011 07:33:24
4.2,1,r4.2-1-KPC0073.csv,KPC0073,07/07/2010 20:05:29,07/15/2010 03:08:16
4.2,1,r4.2-1-LJR0523.csv,LJR0523,07/31/2010 07:43:15,08/11/2010 04:28:49
4.2,1,r4.2-1-LQC0479.csv,LQC0479,09/14/2010 19:46:17,09/22/2010 01:08:02
4.2,1,r4.2-1-MAR0955.csv,MAR0955,02/08/2011 05:55:53,02/11/2011 06:29:08
4.2,1,r4.2-1-MAS0025.csv,MAS0025,09/29/2010 01:39:20,09/30/2010 22:39:20
4.2,1,r4.2-1-MCF0600.csv,MCF0600,09/20/2010 23:52:19,09/23/2010 02:00:46
4.2,1,r4.2-1-MYD0978.csv,MYD0978,12/13/2010 20:30:07,12/18/2010 07:02:34
4.2,1,r4.2-1-PPF0435.csv,PPF0435,02/09/2011 03:00:27,02/09/2011 06:46:27
4.2,1,r4.2-1-RAB0589.csv,RAB0589,09/13/2010 23:18:53,09/23/2010 07:30:03
4.2,1,r4.2-1-RGG0064.csv,RGG0064,10/20/2010 20:12:23,10/27/2010 03:03:52
4.2,1,r4.2-1-RKD0604.csv,RKD0604,07/13/2010 20:04:53,07/20/2010 03:36:55
4.2,1,r4.2-1-TAP0551.csv,TAP0551,10/23/2010 02:55:51,10/29/2010 05:56:18
4.2,1,r4.2-1-WDD0366.csv,WDD0366,02/24/2011 19:49:41,03/03/2011 01:01:02
4.2,2,r4.2-2-AAF0535.csv,AAF0535,06/28/2010 08:51:08,08/20/2010 15:38:04
4.2,2,r4.2-2-ABC0174.csv,ABC0174,10/27/2010 14:11:03,12/24/2010 15:53:02
4.2,2,r4.2-2-AKR0057.csv,AKR0057,10/04/2010 08:48:26,11/29/2010 18:48:10
4.2,2,r4.2-2-CCL0068.csv,CCL0068,12/27/2010 09:20:16,02/21/2011 08:25:17
4.2,2,r4.2-2-CEJ0109.csv,CEJ0109,02/07/2011 11:16:58,04/01/2011 17:23:43
4.2,2,r4.2-2-CQW0652.csv,CQW0652,02/18/2011 09:22:22,04/14/2011 20:58:56
4.2,2,r4.2-2-DIB0285.csv,DIB0285,07/26/2010 16:23:45,09/13/2010 17:13:29
4.2,2,r4.2-2-DRR0162.csv,DRR0162,11/11/2010 07:01:17,01/04/2011 15:43:53
4.2,2,r4.2-2-EDB0714.csv,EDB0714,10/18/2010 10:58:12,12/14/2010 14:17:02
4.2,2,r4.2-2-EGD0132.csv,EGD0132,08/02/2010 10:01:20,09/28/2010 17:24:42
4.2,2,r4.2-2-FSC0601.csv,FSC0601,01/18/2011 08:42:08,03/17/2011 16:45:04
4.2,2,r4.2-2-HBO0413.csv,HBO0413,02/14/2011 08:15:24,04/08/2011 15:25:10
4.2,2,r4.2-2-HXL0968.csv,HXL0968,08/31/2010 07:51:41,10/28/2010 16:06:01
4.2,2,r4.2-2-IJM0776.csv,IJM0776,07/06/2010 08:33:06,09/01/2010 14:10:31
4.2,2,r4.2-2-IKR0401.csv,IKR0401,12/27/2010 08:57:14,02/17/2011 18:21:57
4.2,2,r4.2-2-IUB0565.csv,IUB0565,10/06/2010 09:20:43,11/30/2010 17:49:20
4.2,2,r4.2-2-JJM0203.csv,JJM0203,09/02/2010 07:40:34,10/19/2010 17:04:21
4.2,2,r4.2-2-KRL0501.csv,KRL0501,11/22/2010 09:38:30,01/19/2011 17:06:28
4.2,2,r4.2-2-LCC0819.csv,LCC0819,06/16/2010 11:39:58,08/10/2010 18:31:17
4.2,2,r4.2-2-MDH0580.csv,MDH0580,01/04/2011 09:13:35,03/03/2011 11:40:25
4.2,2,r4.2-2-MOS0047.csv,MOS0047,07/15/2010 07:23:37,09/10/2010 19:34:22
4.2,2,r4.2-2-NWT0098.csv,NWT0098,02/07/2011 16:40:17,04/05/2011 14:00:24
4.2,2,r4.2-2-PNL0301.csv,PNL0301,06/14/2010 09:25:31,08/03/2010 16:54:30
4.2,2,r4.2-2-PSF0133.csv,PSF0133,08/02/2010 10:46:58,09/29/2010 16:23:30
4.2,2,r4.2-2-RAR0725.csv,RAR0725,07/06/2010 08:07:33,08/19/2010 09:58:36
4.2,2,r4.2-2-RHL0992.csv,RHL0992,07/13/2010 09:46:08,09/09/2010 20:45:13
4.2,2,r4.2-2-RMW0542.csv,RMW0542,06/21/2010 09:04:43,08/18/2010 17:37:38
4.2,2,r4.2-2-TNM0961.csv,TNM0961,10/15/2010 07:04:48,12/09/2010 16:05:04
4.2,2,r4.2-2-VSS0154.csv,VSS0154,09/07/2010 09:49:28,10/29/2010 16:40:54
4.2,2,r4.2-2-XHW0498.csv,XHW0498,08/09/2010 12:48:49,10/06/2010 16:05:32
4.2,3,r4.2-3-BBS0039.csv,BBS0039,08/12/2010 10:24:05,08/13/2010 19:08:58
4.2,3,r4.2-3-BSS0369.csv,BSS0369,09/30/2010 13:31:56,10/01/2010 19:48:03
4.2,3,r4.2-3-CCA0046.csv,CCA0046,10/14/2010 08:23:18,10/15/2010 20:01:27
4.2,3,r4.2-3-CSC0217.csv,CSC0217,06/10/2010 07:54:10,06/11/2010 17:42:48
4.2,3,r4.2-3-GTD0219.csv,GTD0219,06/17/2010 09:06:37,06/18/2010 17:50:42
4.2,3,r4.2-3-JGT0221.csv,JGT0221,07/15/2010 09:43:23,07/16/2010 19:33:29
4.2,3,r4.2-3-JLM0364.csv,JLM0364,04/28/2011 09:50:07,04/29/2011 20:04:27
4.2,3,r4.2-3-JTM0223.csv,JTM0223,07/22/2010 07:27:46,07/23/2010 18:01:20
4.2,3,r4.2-3-MPM0220.csv,MPM0220,11/04/2010 08:59:55,11/05/2010 19:29:06
4.2,3,r4.2-3-MSO0222.csv,MSO0222,12/09/2010 08:36:36,12/10/2010 17:39:36
5.1,1,r5.1-1.csv,JTC1885,12/03/2010 06:05:31,12/08/2010 23:35:42
5.1,2,r5.1-2.csv,LBE0376,12/20/2010 09:07:32,02/17/2011 14:34:56
5.1,3,r5.1-3.csv,BGC0686,11/11/2010 10:21:45,11/15/2010 08:19:00
5.1,4,r5.1-4.csv,JAK0783,07/29/2010 08:12:18,09/22/2010 17:18:46
5.2,1,r5.2-1-ALT1465.csv,ALT1465,08/13/2010 22:16:10,08/20/2010 04:01:32
5.2,1,r5.2-1-ALW0764.csv,ALW0764,02/03/2011 07:09:09,02/05/2011 06:12:51
5.2,1,r5.2-1-AYG1697.csv,AYG1697,10/25/2010 23:19:22,10/26/2010 00:06:28
5.2,1,r5.2-1-DAS1320.csv,DAS1320,07/09/2010 01:14:15,07/15/2010 01:38:58
5.2,1,r5.2-1-DNJ0740.csv,DNJ0740,10/04/2010 19:56:42,10/05/2010 01:01:37
5.2,1,r5.2-1-ELT1370.csv,ELT1370,02/03/2011 18:23:53,02/10/2011 02:58:28
5.2,1,r5.2-1-EPG1196.csv,EPG1196,07/15/2010 03:00:42,07/20/2010 00:19:48
5.2,1,r5.2-1-ETW0002.csv,ETW0002,03/17/2011 00:59:27,03/17/2011 06:52:18
5.2,1,r5.2-1-FZG0389.csv,FZG0389,12/10/2010 21:50:34,12/17/2010 06:53:00
5.2,1,r5.2-1-GFM1815.csv,GFM1815,07/16/2010 22:00:57,07/16/2010 23:01:54
5.2,1,r5.2-1-IHC0561.csv,IHC0561,09/02/2010 06:10:00,09/10/2010 08:28:40
5.2,1,r5.2-1-ISW0738.csv,ISW0738,10/27/2010 21:38:38,11/03/2010 07:01:27
5.2,1,r5.2-1-JKB0287.csv,JKB0287,09/09/2010 02:50:22,09/15/2010 02:29:40
5.2,1,r5.2-1-JUP1472.csv,JUP1472,02/11/2011 22:17:37,02/19/2011 04:15:38
5.2,1,r5.2-1-KBC1390.csv,KBC1390,07/16/2010 02:18:07,07/22/2010 00:50:53
5.2,1,r5.2-1-KEW0198.csv,KEW0198,07/07/2010 18:50:50,07/14/2010 06:27:14
5.2,1,r5.2-1-MIB0203.csv,MIB0203,10/13/2010 23:51:44,10/19/2010 02:45:24
5.2,1,r5.2-1-NIV1608.csv,NIV1608,02/05/2011 01:22:24,02/12/2011 06:15:24
5.2,1,r5.2-1-PBC0077.csv,PBC0077,07/22/2010 02:04:28,07/31/2010 02:28:03
5.2,1,r5.2-1-PTH0005.csv,PTH0005,01/31/2011 22:25:29,02/04/2011 05:42:33
5.2,1,r5.2-1-REF1924.csv,REF1924,10/14/2010 19:08:01,10/19/2010 22:24:04
5.2,1,r5.2-1-SAF1942.csv,SAF1942,07/21/2010 00:37:49,07/23/2010 02:12:05
5.2,1,r5.2-1-SLL0193.csv,SLL0193,08/27/2010 18:57:31,09/03/2010 00:24:08
5.2,1,r5.2-1-TMC0934.csv,TMC0934,02/17/2011 06:53:38,02/22/2011 21:01:13
5.2,1,r5.2-1-VAH1292.csv,VAH1292,04/29/2011 22:01:07,05/07/2011 04:04:19
5.2,1,r5.2-1-WHB1247.csv,WHB1247,02/14/2011 21:50:42,02/19/2011 01:07:48
5.2,1,r5.2-1-WSK1857.csv,WSK1857,03/04/2011 00:09:34,03/11/2011 06:52:02
5.2,1,r5.2-1-WWW0701.csv,WWW0701,03/23/2011 06:54:24,03/30/2011 05:40:52
5.2,1,r5.2-1-ZKP0542.csv,ZKP0542,01/12/2011 20:00:15,01/15/2011 04:17:00
5.2,2,r5.2-2-VCF1602.csv,VCF1602,06/23/2010 15:32:14,08/11/2010 18:01:01
5.2,2,r5.2-2-KSS1005.csv,KSS1005,08/18/2010 12:53:32,10/13/2010 14:43:02
5.2,2,r5.2-2-MCP0611.csv,MCP0611,08/09/2010 07:47:22,10/06/2010 15:10:26
5.2,2,r5.2-2-TNB1616.csv,TNB1616,07/15/2010 10:12:25,09/02/2010 18:33:59
5.2,2,r5.2-2-ZIE0741.csv,ZIE0741,06/29/2010 13:16:09,08/27/2010 18:13:31
5.2,2,r5.2-2-HXP0976.csv,HXP0976,10/22/2010 08:09:54,12/17/2010 14:41:46
5.2,2,r5.2-2-HIS1394.csv,HIS1394,11/01/2010 08:22:03,12/22/2010 17:17:44
5.2,2,r5.2-2-JAL0811.csv,JAL0811,12/30/2010 09:36:38,02/24/2011 12:41:35
5.2,2,r5.2-2-ITA0159.csv,ITA0159,12/20/2010 09:49:46,02/14/2011 14:59:39
5.2,2,r5.2-2-CIF1430.csv,CIF1430,07/26/2010 10:30:46,09/23/2010 15:19:33
5.2,2,r5.2-2-RRS0056.csv,RRS0056,10/14/2010 09:28:28,12/09/2010 11:31:54
5.2,2,r5.2-2-MDS0680.csv,MDS0680,07/20/2010 08:10:25,09/13/2010 16:24:07
5.2,2,r5.2-2-TMT0851.csv,TMT0851,03/14/2011 09:24:11,05/11/2011 19:07:42
5.2,2,r5.2-2-OSS1463.csv,OSS1463,07/26/2010 13:51:04,09/21/2010 15:11:58
5.2,2,r5.2-2-HSN0675.csv,HSN0675,03/03/2011 08:32:39,04/27/2011 16:45:00
5.2,2,r5.2-2-WDT1634.csv,WDT1634,07/23/2010 15:13:52,09/10/2010 16:28:36
5.2,2,r5.2-2-OKM1092.csv,OKM1092,03/02/2011 10:29:29,04/20/2011 19:03:28
5.2,2,r5.2-2-CKP0630.csv,CKP0630,06/28/2010 08:13:30,08/13/2010 12:59:03
5.2,2,r5.2-2-ICB1354.csv,ICB1354,10/18/2010 08:23:16,12/07/2010 14:35:43
5.2,2,r5.2-2-TRC1838.csv,TRC1838,07/19/2010 08:49:42,09/15/2010 15:28:52
5.2,2,r5.2-2-NAH1366.csv,NAH1366,09/20/2010 07:37:44,11/17/2010 15:11:31
5.2,2,r5.2-2-BYO1846.csv,BYO1846,10/18/2010 09:13:46,12/15/2010 14:49:13
5.2,2,r5.2-2-GWG0497.csv,GWG0497,08/19/2010 13:43:14,10/07/2010 17:05:45
5.2,2,r5.2-2-MGB1235.csv,MGB1235,11/29/2010 07:58:01,01/13/2011 17:14:00
5.2,2,r5.2-2-CHP1711.csv,CHP1711,08/16/2010 14:33:04,10/05/2010 17:31:06
5.2,2,r5.2-2-SNK1280.csv,SNK1280,12/14/2010 08:34:44,01/31/2011 16:01:04
5.2,2,r5.2-2-LVF1626.csv,LVF1626,11/18/2010 10:09:46,01/12/2011 18:34:32
5.2,2,r5.2-2-HMS1658.csv,HMS1658,11/02/2010 14:12:34,12/27/2010 16:55:07
5.2,2,r5.2-2-DCC1119.csv,DCC1119,11/29/2010 08:22:41,01/11/2011 13:56:52
5.2,2,r5.2-2-SIS0042.csv,SIS0042,07/06/2010 12:22:38,08/19/2010 08:55:23
5.2,3,r5.2-3-ACA1126.csv,ACA1126,12/02/2010 08:44:43,12/03/2010 18:13:56
5.2,3,r5.2-3-CRD0272.csv,CRD0272,07/15/2010 10:53:12,07/16/2010 20:42:28
5.2,3,r5.2-3-CWW1120.csv,CWW1120,05/12/2011 07:49:54,05/13/2011 20:12:30
5.2,3,r5.2-3-ELM1123.csv,ELM1123,10/14/2010 09:22:38,10/15/2010 19:09:55
5.2,3,r5.2-3-GKW0043.csv,GKW0043,11/04/2010 09:33:45,11/05/2010 18:57:06
5.2,3,r5.2-3-KCM0466.csv,KCM0466,02/10/2011 09:43:58,02/11/2011 18:28:22
5.2,3,r5.2-3-LAH0463.csv,LAH0463,05/05/2011 09:24:47,05/06/2011 18:52:11
5.2,3,r5.2-3-MPF0690.csv,MPF0690,06/17/2010 10:00:38,06/18/2010 20:22:06
5.2,3,r5.2-3-VRP0267.csv,VRP0267,08/05/2010 09:19:01,08/06/2010 20:15:06
5.2,3,r5.2-3-ZEH0685.csv,ZEH0685,03/31/2011 08:08:27,04/01/2011 21:25:08
5.2,4,r5.2-4-ACM1770.csv,ACM1770,03/17/2011 17:18:29,05/19/2011 08:48:32
5.2,4,r5.2-4-AMC1883.csv,AMC1883,01/14/2011 08:11:09,03/08/2011 08:33:48
5.2,4,r5.2-4-ASH0298.csv,ASH0298,01/25/2011 17:50:14,03/29/2011 11:01:07
5.2,4,r5.2-4-ASH0458.csv,ASH0458,02/25/2011 07:40:32,05/06/2011 13:00:22
5.2,4,r5.2-4-BDP0096.csv,BDP0096,11/15/2010 14:13:11,02/07/2011 08:19:45
5.2,4,r5.2-4-CBW1826.csv,CBW1826,10/14/2010 16:43:44,03/23/2011 13:33:50
5.2,4,r5.2-4-CGF1056.csv,CGF1056,03/11/2011 07:55:15,04/27/2011 11:51:13
5.2,4,r5.2-4-CPD1525.csv,CPD1525,01/31/2011 07:24:40,04/04/2011 18:29:18
5.2,4,r5.2-4-DIM0330.csv,DIM0330,09/09/2010 16:25:08,12/01/2010 15:44:25
5.2,4,r5.2-4-DKG0161.csv,DKG0161,01/19/2011 10:09:28,04/07/2011 07:51:45
5.2,4,r5.2-4-DQM0809.csv,DQM0809,11/18/2010 07:46:22,02/01/2011 11:49:23
5.2,4,r5.2-4-GCD0194.csv,GCD0194,02/03/2011 13:09:37,03/07/2011 08:51:56
5.2,4,r5.2-4-GMB0400.csv,GMB0400,02/16/2011 08:04:07,04/15/2011 14:00:47
5.2,4,r5.2-4-HBP1076.csv,HBP1076,02/09/2011 12:30:26,04/25/2011 08:19:54
5.2,4,r5.2-4-IRH1224.csv,IRH1224,02/05/2011 16:16:06,04/05/2011 18:26:12
5.2,4,r5.2-4-JCC0016.csv,JCC0016,11/02/2010 07:20:04,03/22/2011 18:23:29
5.2,4,r5.2-4-JIG1593.csv,JIG1593,01/07/2011 07:25:29,03/29/2011 08:08:45
5.2,4,r5.2-4-JMM0613.csv,JMM0613,01/12/2011 07:48:22,03/23/2011 08:53:52
5.2,4,r5.2-4-JNR1592.csv,JNR1592,02/21/2011 08:38:46,04/26/2011 07:40:02
5.2,4,r5.2-4-KDC0996.csv,KDC0996,12/21/2010 17:58:43,02/22/2011 18:22:37
5.2,4,r5.2-4-MJR0711.csv,MJR0711,08/11/2010 10:48:54,10/28/2010 17:51:05
5.2,4,r5.2-4-MTP1582.csv,MTP1582,12/21/2010 19:21:12,03/17/2011 07:52:55
