index,date_index,user_index,date,label,f1,f2,f3,f4,f5,g1,g2
126,0,BNR0965,4/01/2010 0:00,0,0.295138889,0.680555556,0,0,0,-0.817148983,-0.58283931
212,0,COM0321,4/01/2010 0:00,0,0.320833333,0.663888889,0,0,0,-0.640101135,-0.749165535
319,0,ETR0428,4/01/2010 0:00,0,0.327777778,0.711111111,0,0,0,-0.072591692,-2.65898037
657,0,MJB0588,4/01/2010 0:00,0,0.34375,0.778472222,0,0,0,-0.812257469,-0.586726189
842,0,SBD0913,4/01/2010 0:00,0,0.298611111,0.684027778,0,0,0,-0.617742598,-0.774704695
1390,1,HCM0267,5/01/2010 0:00,0,0.3125,0.644444444,0.313888889,0.636111111,2,-0.287741631,-1.386115551
1823,1,RRA0938,5/01/2010 0:00,0,0.302777778,0.676388889,0,0,0,-0.145396739,-2.00010705
2677,2,MOS0047,6/01/2010 0:00,0,0.215972222,0.655555556,0.218055556,0.457638889,2,-1.680565596,-0.206124946
2728,2,NRO0768,6/01/2010 0:00,0,0.356944444,0.681944444,0,0,0,-0.37094909,-1.171438217
3452,3,IIW0249,7/01/2010 0:00,0,0.327777778,0.709027778,0.338888889,0.697222222,0,-0.169987351,-1.855821133
4199,4,CLB0774,8/01/2010 0:00,0,0.360416667,0.685416667,0.383333333,0.646527778,0,-0.37104708,-1.171219826
4415,4,HMM0108,8/01/2010 0:00,0,0.385416667,0.760416667,0.394444444,0.640277778,0,-1.416042924,-0.277959377
4620,4,LRR0148,8/01/2010 0:00,0,0.290972222,0.708333333,0.411111111,0.706944444,0,-0.356187195,-1.205111861
5696,5,NAH0503,11/01/2010 0:00,0,0.341666667,0.725,0,0,0,-1.308746457,-0.314927936
5987,5,YJF0532,11/01/2010 0:00,0,0.375,0.709027778,0,0,0,-0.775628805,-0.616953433
6125,6,BNG0237,12/01/2010 0:00,0,0.335416667,0.747916667,0,0,0,-1.630174756,-0.218025848
6264,6,DLH0029,12/01/2010 0:00,0,0.313888889,0.783333333,0,0,0,-0.047071576,-3.079529762
7023,7,AHD0848,13/01/2010 0:00,0,0.344444444,0.820138889,0.513888889,0.540277778,0,-0.095497668,-2.396022081
7462,7,ILJ0526,13/01/2010 0:00,0,0.375,0.708333333,0.447916667,0.584722222,0,-0.77578336,-0.616821587
7814,7,RKF0164,13/01/2010 0:00,0,0.304166667,0.675,0,0,0,-1.4691962,-0.261508107
8127,8,BQS0525,14/01/2010 0:00,0,0.376388889,0.710416667,0.483333333,0.6625,0,-0.775801182,-0.616806269
8271,8,DOP0562,14/01/2010 0:00,0,0.367361111,0.745138889,0,0,0,-0.928960443,-0.502467394
8406,8,HJA0018,14/01/2010 0:00,0,0.332638889,0.756944444,0,0,0,-0.203493446,-1.692143321
8752,8,OSH0655,14/01/2010 0:00,0,0.384027778,0.886805556,0,0,0,-1.059937477,-0.425378203
8829,8,RUM0880,14/01/2010 0:00,0,0.315277778,0.75,0.609027778,0.617361111,0,-0.132255033,-2.088421822
9312,9,ERH0449,15/01/2010 0:00,0,0.339583333,0.75,0,0,0,-0.051765125,-2.986809492
9655,9,MIL0255,15/01/2010 0:00,0,0.331944444,0.693055556,0,0,0,-0.112041146,-2.244386911
9662,9,MKP0861,15/01/2010 0:00,0,0.325,0.738888889,0,0,0,-0.132022843,-2.090065718
10140,10,BTS0011,18/01/2010 0:00,0,0.302083333,0.648611111,0,0,0,-0.050905604,-3.003128052
10189,10,CJK0200,18/01/2010 0:00,0,0.303472222,0.649305556,0,0,0,-0.071640484,-2.67170167
10343,10,FSB0399,18/01/2010 0:00,0,0.324305556,0.801388889,0,0,0,-1.092245579,-0.40866369
10767,10,PLH0715,18/01/2010 0:00,0,0.322916667,0.707638889,0,0,0,-0.730747044,-0.656909943
11092,11,BAM0611,19/01/2010 0:00,0,0.331944444,0.7125,0,0,0,-1.022114396,-0.446026683
11327,11,FEB0306,19/01/2010 0:00,0,0.367361111,0.751388889,0.661111111,0.688888889,0,-1.478807926,-0.258653164
