index,date_index,user_index,date,label,f1,f2,f3,f4,f5
126,0,BNR0965,4/01/2010 0:00,0,0.295138889,0.680555556,0,0,0
212,0,COM0321,4/01/2010 0:00,0,0.320833333,0.663888889,0,0,0
319,0,ETR0428,4/01/2010 0:00,0,0.327777778,0.711111111,0,0,0
657,0,MJB0588,4/01/2010 0:00,0,0.34375,0.778472222,0,0,0
842,0,SBD0913,4/01/2010 0:00,0,0.298611111,0.684027778,0,0,0
1390,1,HCM0267,5/01/2010 0:00,0,0.3125,0.644444444,0.313888889,0.636111111,2
1823,1,RRA0938,5/01/2010 0:00,0,0.302777778,0.676388889,0,0,0
2677,2,MOS0047,6/01/2010 0:00,0,0.215972222,0.655555556,0.218055556,0.457638889,2
2728,2,NRO0768,6/01/2010 0:00,0,0.356944444,0.681944444,0,0,0
3452,3,IIW0249,7/01/2010 0:00,0,0.327777778,0.709027778,0.338888889,0.697222222,0
4199,4,CLB0774,8/01/2010 0:00,0,0.360416667,0.685416667,0.383333333,0.646527778,0
4415,4,HMM0108,8/01/2010 0:00,0,0.385416667,0.760416667,0.394444444,0.640277778,0
4620,4,LRR0148,8/01/2010 0:00,0,0.290972222,0.708333333,0.411111111,0.706944444,0
5696,5,NAH0503,11/01/2010 0:00,0,0.341666667,0.725,0,0,0
5987,5,YJF0532,11/01/2010 0:00,0,0.375,0.709027778,0,0,0
6125,6,BNG0237,12/01/2010 0:00,0,0.335416667,0.747916667,0,0,0
6264,6,DLH0029,12/01/2010 0:00,0,0.313888889,0.783333333,0,0,0
7023,7,AHD0848,13/01/2010 0:00,0,0.344444444,0.820138889,0.513888889,0.540277778,0
7462,7,ILJ0526,13/01/2010 0:00,0,0.375,0.708333333,0.447916667,0.584722222,0
7814,7,RKF0164,13/01/2010 0:00,0,0.304166667,0.675,0,0,0
8127,8,BQS0525,14/01/2010 0:00,0,0.376388889,0.710416667,0.483333333,0.6625,0
8271,8,DOP0562,14/01/2010 0:00,0,0.367361111,0.745138889,0,0,0
8406,8,HJA0018,14/01/2010 0:00,0,0.332638889,0.756944444,0,0,0
8752,8,OSH0655,14/01/2010 0:00,0,0.384027778,0.886805556,0,0,0
8829,8,RUM0880,14/01/2010 0:00,0,0.315277778,0.75,0.609027778,0.617361111,0
9312,9,ERH0449,15/01/2010 0:00,0,0.339583333,0.75,0,0,0
9655,9,MIL0255,15/01/2010 0:00,0,0.331944444,0.693055556,0,0,0
9662,9,MKP0861,15/01/2010 0:00,0,0.325,0.738888889,0,0,0
10140,10,BTS0011,18/01/2010 0:00,0,0.302083333,0.648611111,0,0,0
10189,10,CJK0200,18/01/2010 0:00,0,0.303472222,0.649305556,0,0,0
10343,10,FSB0399,18/01/2010 0:00,0,0.324305556,0.801388889,0,0,0
10767,10,PLH0715,18/01/2010 0:00,0,0.322916667,0.707638889,0,0,0
11092,11,BAM0611,19/01/2010 0:00,0,0.331944444,0.7125,0,0,0
11327,11,FEB0306,19/01/2010 0:00,0,0.367361111,0.751388889,0.661111111,0.688888889,0
11765,11,PKB0281,19/01/2010 0:00,0,0.384027778,0.768055556,0,0,0
12296,12,EHD0584,20/01/2010 0:00,0,0.347916667,0.778472222,0,0,0
12737,12,OHC0973,20/01/2010 0:00,0,0.3,0.684722222,0,0,0
13001,13,AAF0535,21/01/2010 0:00,0,0.377083333,0.701388889,0.445833333,0.500694444,0
13120,13,BMC0547,21/01/2010 0:00,0,0.334027778,0.745138889,0,0,0
13602,13,LHB0967,21/01/2010 0:00,0,0.293055556,0.676388889,0,0,0
13955,13,WBC0315,21/01/2010 0:00,0,0.326388889,0.652777778,0,0,0
14183,14,CIM0271,22/01/2010 0:00,0,0.302083333,0.724305556,0.529166667,0.657638889,0
14919,14,TPH0474,22/01/2010 0:00,0,0.332638889,0.752777778,0,0,0
15338,15,FPC0954,25/01/2010 0:00,0,0.300694444,0.683333333,0,0,0
16017,16,ADD0846,26/01/2010 0:00,0,0.35625,0.811111111,0,0,0
16087,16,AWM0764,26/01/2010 0:00,0,0.353472222,0.6875,0,0,0
16237,16,DAL0673,26/01/2010 0:00,0,0.334027778,0.664583333,0.409722222,0.483333333,0
16244,16,DCH0843,26/01/2010 0:00,0,0.344444444,0.811111111,0,0,0
16275,16,DRR0242,26/01/2010 0:00,0,0.3375,0.745138889,0,0,0
16813,16,RKD0604,26/01/2010 0:00,0,0.324305556,0.707638889,0,0,0
16970,16,WRM0963,26/01/2010 0:00,0,0.306944444,0.673611111,0,0,0
17135,17,BSS0463,27/01/2010 0:00,0,0.33125,0.75,0,0,0
17658,17,MJM0510,27/01/2010 0:00,0,0.372222222,0.715972222,0,0,0
17669,17,MLP0668,27/01/2010 0:00,0,0.325,0.670138889,0,0,0
17834,17,SAA0999,27/01/2010 0:00,0,0.335416667,0.8125,0.540972222,0.806944444,2
18428,18,HSP0290,28/01/2010 0:00,0,0.377083333,0.757638889,0,0,0
19166,19,CCM0467,29/01/2010 0:00,0,0.333333333,0.747222222,0,0,0
19179,19,CGF0337,29/01/2010 0:00,0,0.302777778,0.757638889,0,0,0
19405,19,HIW0536,29/01/2010 0:00,0,0.333333333,0.75,0,0,0
19465,19,IMG0320,29/01/2010 0:00,0,0.325694444,0.646527778,0,0,0
19565,19,KNB0022,29/01/2010 0:00,0,0.313194444,0.645833333,0,0,0
19653,19,MIB0904,29/01/2010 0:00,0,0.386805556,0.753472222,0,0,0
20402,20,HGH0595,1/02/2010 0:00,0,0.363888889,0.770138889,0,0,0
20811,20,RJB0088,1/02/2010 0:00,0,0.325,0.695833333,0,0,0
20906,20,TET0621,1/02/2010 0:00,0,0.332638889,0.705555556,0,0,0
21100,21,BCR0581,2/02/2010 0:00,0,0.359722222,0.770138889,0,0,0
21273,21,DPS0262,2/02/2010 0:00,0,0.324305556,0.694444444,0,0,0
22193,22,CJV0286,3/02/2010 0:00,0,0.394444444,0.755555556,0,0,0
22398,22,HDL0748,3/02/2010 0:00,0,0.340277778,0.698611111,0,0,0
22413,22,HLH0512,3/02/2010 0:00,0,0.367361111,0.709027778,0,0,0
23339,23,FQA0854,4/02/2010 0:00,0,0.323611111,0.736805556,0,0,0
24517,24,JNJ0556,5/02/2010 0:00,0,0.373611111,0.749305556,0.446527778,0.66875,0
24894,24,SVS0871,5/02/2010 0:00,0,0.325,0.733333333,0,0,0
25882,25,SOF0808,8/02/2010 0:00,0,0.346527778,0.853472222,0,0,0
27015,27,ACV0812,10/02/2010 0:00,0,0.354166667,0.851388889,0,0,0
27027,27,AIH0675,10/02/2010 0:00,0,0.334722222,0.665972222,0,0,0
27289,27,EDB0714,10/02/2010 0:00,0,0.327777778,0.692361111,0.426388889,0.456944444,0
27438,27,IAR0694,10/02/2010 0:00,0,0.36875,0.793055556,0,0,0
27852,27,SDB0106,10/02/2010 0:00,0,0.385416667,0.760416667,0,0,0
28126,28,BNR0965,11/02/2010 0:00,0,0.302083333,0.675,0,0,0
28987,28,YJF0532,11/02/2010 0:00,0,0.364583333,0.704166667,0,0,0
29180,29,CHG0146,12/02/2010 0:00,0,0.355555556,0.684722222,0,0,0
29526,29,JRS0362,12/02/2010 0:00,0,0.013888889,0.840972222,0,0,0
30931,30,TYB0779,15/02/2010 0:00,0,0.345833333,0.692361111,0,0,0
