start,end
0,79
0,1463
0,4
0,1811
0,1838
0,1562
0,1570
0,1586
0,1736
0,1699
0,117
0,408
0,136
0,1379
0,1768
0,180
0,1025
0,1732
0,39
0,224
0,43
0,192
0,93
0,1088
0,1668
0,1792
0,1417
0,1784
0,231
0,348
0,936
0,1673
0,1009
0,163
0,246
0,1493
0,36
0,1414
0,213
0,637
0,50
0,244
0,1860
0,1035
0,1043
0,1049
0,1058
0,1067
0,1077
0,1090
0,1095
0,1101
0,1110
0,1119
0,1130
0,1137
0,1143
0,1150
0,1156
0,1161
0,1165
0,1174
0,1180
0,1187
0,1202
0,1223
0,1235
0,1271
0,1278
0,1284
0,1308
0,790
0,800
0,810
0,816
0,827
0,839
0,844
0,852
0,861
0,872
0,880
0,886
0,893
0,897
0,908
0,919
0,924
0,933
0,940
0,947
0,952
0,961
0,978
0,984
0,1000
0,1005
0,1019
0,1026
0,1033
0,1054
0,1084
0,1107
1,271
1,788
1,1237
1,584
1,638
1,661
1,267
1,1491
1,1012
1,1081
1,447
1,462
1,499
1,509
1,1598
1,202
1,705
1,59
1,361
1,1851
1,1269
1,204
1,1760
1,1096
1,1102
1,1112
1,1121
1,1131
1,1138
1,1144
1,1151
1,1157
1,1162
1,1166
1,1175
1,1181
1,1188
1,1193
1,1203
1,1207
1,1215
1,1225
1,1236
1,1244
1,1250
1,1272
1,1290
1,1309
1,1317
1,1336
1,1345
1,1357
1,114
1,326
1,1650
1,483
1,1740
1,233
1,1204
1,520
1,40
1,1526
2,158
2,1265
2,1495
2,1786
2,238
2,1590
2,907
2,1132
2,1168
2,1739
2,1856
2,341
2,172
2,229
2,991
2,445
2,179
2,1862
2,1572
3,1876
3,561
3,594
3,1159
3,899
3,911
3,922
3,927
3,146
3,865
3,876
3,928
3,1149
3,1470
3,1691
3,942
3,1553
3,1400
3,1407
3,1413
3,1421
3,1426
3,1431
3,1436
3,1441
3,1449
3,1452
3,1460
3,1469
3,1479
3,1486
3,1492
3,1499
3,1505
3,1509
3,1514
3,1520
3,1523
3,1530
3,1536
3,1563
3,1587
3,1622
3,1630
3,1674
3,1701
3,1853
3,35
3,95
3,992
3,999
3,1358
3,1868
3,144
3,896
3,494
3,65
3,1167
3,173
3,1524
3,1874
3,62
3,1333
3,1847
3,1867
3,97
3,332
3,1798
3,381
3,457
4,1811
4,1838
4,208
4,226
4,118
4,1502
4,1876
4,161
4,380
4,1455
4,1506
5,583
5,1195
5,1802
5,1885
5,305
6,1796
6,241
6,1279
6,239
6,728
6,850
6,891
6,1501
6,377
6,671
6,682
6,1060
6,1615
6,1089
6,1129
6,1173
6,1266
6,281
6,529
6,331
7,465
7,479
7,489
7,500
7,511
7,521
7,535
7,545
7,556
7,569
7,578
7,590
7,602
7,612
7,621
7,632
7,644
7,655
7,666
7,676
7,686
7,697
7,706
7,734
7,750
7,758
7,763
7,777
7,785
7,793
7,803
7,818
7,831
7,846
7,855
7,871
7,681
7,694
7,719
7,310
7,314
7,122
7,1148
7,1155
7,938
7,1329
7,301
7,864
7,1142
7,1887
7,125
7,461
7,475
7,285
7,1307
7,1314
7,297
7,299
7,1228
7,1261
7,672
7,1024
7,1032
7,1515
7,1864
7,157
7,248
7,279
7,519
7,534
8,751
8,1179
8,729
8,83
8,626
8,1334
8,302
8,775
8,382
8,388
8,403
8,411
8,420
8,430
8,446
8,460
8,474
8,486
8,498
8,508
8,518
8,532
8,543
8,555
8,564
8,577
8,587
8,598
8,610
8,620
8,643
8,653
8,711
8,721
8,732
8,801
8,1559
8,1828
8,286
8,1747
8,232
8,1881
8,139
8,1510
8,1662
8,1606
8,276
8,1714
8,152
8,1875
8,230
8,346
8,1141
8,212
8,1113
8,1907
8,45
8,843
8,1831
8,138
8,1660
8,795
8,291
8,1537
8,565
8,823
8,10
8,835
9,1754
9,1471
9,298
9,458
9,1900
9,295
9,1105
9,1205
9,1787
9,116
9,1384
9,1316
9,1389
9,132
9,764
9,595
9,1115
9,277
9,539
9,191
10,835
10,729
10,83
10,626
10,1334
10,302
10,775
10,382
10,388
10,403
10,411
10,420
10,430
10,446
10,460
10,474
10,486
10,498
10,508
10,518
10,532
10,543
10,555
10,564
10,577
10,587
10,598
10,610
10,620
10,643
10,653
10,711
10,721
10,732
10,801
10,1559
10,1828
10,286
10,1747
10,232
10,1881
10,139
10,1510
10,1662
10,1606
10,276
10,1714
10,152
10,1875
10,230
10,346
10,1141
10,212
10,1113
10,1907
10,45
10,843
10,1831
10,138
10,8
10,751
10,1179
10,1660
10,795
10,291
10,1537
10,565
10,823
11,67
11,91
11,261
11,467
11,1017
11,974
11,980
11,1844
11,542
11,552
11,562
11,575
11,585
11,596
11,607
11,617
11,628
11,640
11,651
11,662
11,673
11,683
11,695
11,702
11,709
11,717
11,730
11,740
11,747
11,756
11,815
11,824
11,837
11,851
11,859
11,262
11,1549
11,1558
11,1565
11,1575
11,1583
11,1594
11,1603
11,1609
11,1617
11,1625
11,1634
11,1640
11,1645
11,1654
11,1664
11,1669
11,1680
11,1687
11,1696
11,1706
11,1717
11,1745
11,1762
11,1767
11,1777
11,1780
11,1785
11,1803
11,1597
11,1861
11,195
11,720
11,89
11,1894
11,1801
11,34
11,78
11,1693
11,1312
11,1614
11,251
11,905
11,931
11,966
12,883
12,1359
12,81
12,1253
13,1859
13,1716
13,1892
13,423
13,874
13,882
13,910
13,921
13,1254
13,531
13,1239
13,1855
13,506
13,113
13,1240
13,236
13,254
13,273
13,507
13,268
13,1262
13,223
13,1086
13,217
13,1323
13,162
13,142
13,109
13,659
13,670
13,679
13,691
13,700
13,708
13,716
13,727
13,737
13,746
13,755
13,761
13,766
13,774
13,781
13,787
13,797
13,806
13,813
13,821
13,833
13,842
13,858
13,868
13,878
13,890
13,915
13,930
13,988
13,987
13,1234
13,1241
13,1249
13,1260
13,1270
13,1276
13,1283
13,1288
13,1292
13,1295
13,1303
13,1306
13,1313
13,1321
13,1325
13,1331
13,1338
13,1341
13,1343
13,1350
13,1353
13,1364
13,1373
13,1383
13,1392
13,1406
13,1412
13,1468
13,1818
13,866
14,80
14,280
14,1879
14,209
14,1403
14,1429
14,1433
14,1481
14,814
14,916
14,1556
14,69
14,154
14,1434
14,1438
14,205
14,1731
14,739
14,1197
14,1672
14,1817
14,376
14,444
14,1402
14,1567
14,1763
14,1822
14,101
14,1318
14,1756
14,1776
14,1304
14,1508
14,630
14,675
14,1581
14,20
14,18
14,37
14,188
14,270
14,344
14,351
14,356
14,360
14,369
14,379
14,387
14,397
14,409
14,419
14,428
14,443
14,455
14,471
14,484
14,495
14,505
14,516
14,528
14,540
14,606
14,627
14,649
14,660
14,680
14,692
14,738
14,263
14,1315
14,52
15,1427
15,1832
15,1591
15,1361
15,1367
15,1374
15,1378
15,1390
15,1395
15,1401
15,1409
15,1416
15,1422
15,1428
15,1432
15,1437
15,1443
15,1450
15,1456
15,1464
15,1473
15,1483
15,1489
15,1521
15,1532
15,1538
15,1548
15,1557
15,1574
15,1582
15,1616
15,1624
15,1633
15,586
15,972
15,1267
15,151
15,1056
15,48
15,389
15,421
15,433
15,463
15,588
16,400
16,641
16,825
16,1804
16,768
16,863
16,1016
16,1544
16,264
16,1656
17,118
17,1502
17,242
17,275
17,1808
17,128
17,186
17,449
17,546
17,1087
17,194
17,1843
17,47
17,137
17,1539
17,104
17,1711
17,402
17,517
17,530
17,553
17,563
17,576
17,782
17,44
17,1051
17,1884
17,1771
17,1380
17,1346
17,103
17,533
17,1895
18,280
18,1879
18,209
18,1403
18,1429
18,1433
18,1481
18,814
18,916
18,1556
18,69
18,154
18,1434
18,1438
18,205
18,1731
18,739
18,1197
18,1672
18,1817
18,376
18,444
18,1402
18,1567
18,1763
18,1822
18,101
18,1318
18,1756
18,1776
18,1304
18,1508
18,630
18,675
18,14
18,80
18,1581
18,20
18,37
18,188
18,270
18,344
18,351
18,356
18,360
18,369
18,379
18,387
18,397
18,409
18,419
18,428
18,443
18,455
18,471
18,484
18,495
18,505
18,516
18,528
18,540
18,606
18,627
18,649
18,660
18,680
18,692
18,738
18,263
18,1315
18,52
19,108
19,1152
19,1231
19,1749
19,1177
19,1184
19,1190
19,1198
19,1206
19,1210
19,1219
19,1229
19,1238
19,1245
19,1258
19,1263
19,1273
19,1280
19,1286
19,1291
19,1294
19,1301
19,1305
19,1311
19,1320
19,1337
19,1347
19,1351
19,1362
19,1369
19,1375
19,1397
20,280
20,1879
20,209
20,1403
20,1429
20,1433
20,1481
20,814
20,916
20,1556
20,69
20,154
20,1434
20,1438
20,205
20,1731
20,739
20,1197
20,1672
20,1817
20,376
20,444
20,1402
20,1567
20,1763
20,1822
20,101
20,1318
20,1756
20,1776
20,1304
20,1508
20,630
20,675
20,14
20,80
20,1581
20,18
20,37
20,188
20,270
20,344
20,351
20,356
20,360
20,369
20,379
20,387
20,397
20,409
20,419
20,428
20,443
20,455
20,471
20,484
20,495
20,505
20,516
20,528
20,540
20,606
20,627
20,649
20,660
20,680
20,692
20,738
20,263
20,1315
20,52
21,918
21,1445
21,259
21,1904
21,1300
21,1566
21,1902
21,431
21,1275
21,90
21,317
21,434
21,1074
21,1710
21,256
21,1882
21,1233
21,1901
21,985
21,993
21,1001
21,1006
21,1014
21,1020
21,1027
21,1034
21,1040
21,1046
21,1055
21,1064
21,1073
21,1085
21,1093
21,1099
21,1108
21,1117
21,1126
21,1134
21,1140
21,1147
21,1154
21,1170
21,1201
21,1221
21,1232
21,1268
21,442
21,1743
21,71
21,133
22,1200
22,1226
22,1082
22,1533
22,164
22,1410
22,1676
22,1592
22,196
22,547
22,1322
22,1326
22,1332
22,1545
23,294
23,274
23,798
23,1542
23,1826
23,1111
23,221
23,1398
23,1472
23,201
23,207
23,120
23,1632
23,1906
23,1299
23,1677
23,1125
23,1448
23,337
23,1529
23,1626
23,1636
23,1641
23,1646
23,1655
23,1665
23,1670
23,1681
23,1688
23,1697
23,1707
23,1718
23,1722
23,1726
23,1733
23,1737
23,1741
23,1746
23,1748
23,1752
23,1758
23,1769
23,1794
23,1812
23,1815
23,1824
23,1839
23,1842
23,485
23,1061
24,1109
24,257
24,1008
24,1814
24,1835
24,70
24,1782
24,525
24,1366
24,944
24,650
24,27
24,631
24,997
24,282
24,1891
24,119
24,1145
24,1552
24,324
24,72
24,820
24,1256
24,303
24,1172
24,1420
24,958
24,1593
24,214
25,1354
25,619
25,1164
25,1349
25,713
25,1480
25,51
25,227
25,398
25,1209
25,396
25,1344
25,56
25,639
25,1310
25,287
25,1766
25,1454
25,1821
25,1013
25,42
25,1196
25,1830
25,1841
25,418
26,900
26,66
26,98
26,567
26,760
26,1661
26,225
26,424
26,1127
26,345
26,63
26,240
26,129
26,245
26,215
26,752
26,979
27,631
27,257
27,1008
27,1814
27,1835
27,70
27,24
27,1109
27,1782
27,525
27,1366
27,944
27,650
27,997
27,282
27,1891
27,119
27,1145
27,1552
27,324
27,72
27,820
27,1256
27,303
27,1172
27,1420
27,958
27,1593
27,214
28,399
28,826
28,768
28,1446
28,253
28,1849
28,1226
29,362
29,289
30,86
30,1683
30,957
30,1870
30,1679
30,1857
30,1755
30,807
30,1363
30,1372
30,1376
30,1381
30,1391
30,1399
30,1404
30,1411
30,1419
30,1425
30,1430
30,1435
30,1439
30,1447
30,1451
30,1459
30,1466
30,1476
30,1485
30,1497
30,1513
30,1519
30,1528
30,1535
30,1543
30,1551
30,1569
30,1620
30,1761
31,161
31,380
31,1455
31,1506
31,210
31,853
31,1289
31,1775
31,391
31,1285
31,1897
31,1003
31,830
31,1002
31,1899
31,115
31,1816
31,917
31,1764
31,1866
31,307
31,541
31,127
31,476
31,566
31,1531
31,148
31,1627
31,1123
31,181
31,149
31,1836
31,1319
31,385
31,393
31,406
31,416
31,426
31,438
31,451
31,468
31,480
31,491
31,501
31,512
31,523
31,536
31,549
31,559
31,571
31,580
31,592
31,604
31,615
31,623
31,646
31,657
31,688
31,724
31,736
31,76
31,1039
31,1045
31,1053
31,1062
31,1071
31,1083
31,1092
31,1098
31,1106
31,1116
31,1124
31,1133
31,1139
31,1146
31,1153
31,1160
31,1163
31,1169
31,1178
31,1185
31,1191
31,1199
31,1211
31,1230
31,1246
31,1259
31,1264
31,1287
31,1324
31,1424
31,206
31,1075
32,1889
32,860
32,1458
32,1465
32,1475
32,1484
32,1490
32,1496
32,1503
32,1507
32,1512
32,1518
32,1522
32,1527
32,1534
32,1540
32,1550
32,1561
32,1568
32,1576
32,1584
32,1595
32,1604
32,1610
32,1618
32,1642
32,1698
32,1708
32,1719
32,1728
32,1753
32,1759
32,1834
32,1886
32,145
32,962
32,986
32,1047
32,49
32,266
32,440
32,453
32,503
32,1394
32,1212
32,193
32,64
32,812
32,371
32,177
32,1356
32,436
32,1171
32,497
32,1898
32,749
32,935
32,107
32,472
32,496
33,1854
33,226
33,1601
33,834
33,88
33,185
33,1621
33,603
33,614
33,622
33,633
33,645
33,656
33,667
33,677
33,687
33,699
33,707
33,715
33,723
33,735
33,744
33,753
33,759
33,765
33,771
33,778
33,786
33,794
33,804
33,819
33,847
33,875
33,884
33,888
33,913
33,955
33,1094
33,836
33,1218
33,664
33,791
33,1704
33,1712
33,1819
33,156
33,364
33,1192
33,218
33,318
33,726
33,597
33,609
33,618
33,629
33,642
33,652
33,663
33,674
33,684
33,696
33,703
33,710
33,718
33,731
33,741
33,748
33,757
33,762
33,770
33,776
33,783
33,789
33,808
33,838
33,869
33,879
33,892
33,932
33,946
33,1461
33,203
33,300
33,306
33,309
33,313
33,316
33,322
33,327
33,334
33,338
33,342
33,349
33,354
33,358
33,366
33,374
33,384
33,392
33,405
33,415
33,425
33,437
33,450
33,490
33,522
33,548
33,557
33,579
33,613
33,55
33,799
33,1724
33,1846
33,200
33,1541
33,1227
33,1757
34,67
34,91
34,261
34,467
34,1017
34,974
34,980
34,1844
34,11
34,542
34,552
34,562
34,575
34,585
34,596
34,607
34,617
34,628
34,640
34,651
34,662
34,673
34,683
34,695
34,702
34,709
34,717
34,730
34,740
34,747
34,756
34,815
34,824
34,837
34,851
34,859
34,262
34,1549
34,1558
34,1565
34,1575
34,1583
34,1594
34,1603
34,1609
34,1617
34,1625
34,1634
34,1640
34,1645
34,1654
34,1664
34,1669
34,1680
34,1687
34,1696
34,1706
34,1717
34,1745
34,1762
34,1767
34,1777
34,1780
34,1785
34,1803
34,1597
34,1861
34,195
34,720
34,89
34,1894
34,1801
34,78
34,1693
34,1312
34,1614
34,251
34,905
34,931
34,966
35,95
35,992
35,999
35,1876
35,561
35,594
35,1159
35,3
35,899
35,911
35,922
35,927
35,146
35,865
35,876
35,928
35,1149
35,1470
35,1691
35,942
35,1553
35,1400
35,1407
35,1413
35,1421
35,1426
35,1431
35,1436
35,1441
35,1449
35,1452
35,1460
35,1469
35,1479
35,1486
35,1492
35,1499
35,1505
35,1509
35,1514
35,1520
35,1523
35,1530
35,1536
35,1563
35,1587
35,1622
35,1630
35,1674
35,1701
35,1853
35,1358
35,1868
35,144
35,896
35,494
35,65
35,1167
35,173
35,1524
35,1874
35,62
35,1333
35,1847
35,1867
35,97
35,332
35,1798
35,381
35,457
36,1414
36,4
36,1811
36,1838
36,1562
36,1570
36,1586
36,1736
36,1699
36,117
36,408
36,136
36,1379
36,1768
36,180
36,1025
36,1732
36,39
36,224
36,43
36,192
36,93
36,1088
36,1668
36,1792
36,1417
36,1784
36,231
36,348
36,936
36,1673
36,1009
36,163
36,0
36,79
36,1463
36,246
36,1493
36,213
36,637
36,50
36,244
36,1860
36,1035
36,1043
36,1049
36,1058
36,1067
36,1077
36,1090
36,1095
36,1101
36,1110
36,1119
36,1130
36,1137
36,1143
36,1150
36,1156
36,1161
36,1165
36,1174
36,1180
36,1187
36,1202
36,1223
36,1235
36,1271
36,1278
36,1284
36,1308
36,790
36,800
36,810
36,816
36,827
36,839
36,844
36,852
36,861
36,872
36,880
36,886
36,893
36,897
36,908
36,919
36,924
36,933
36,940
36,947
36,952
36,961
36,978
36,984
36,1000
36,1005
36,1019
36,1026
36,1033
36,1054
36,1084
36,1107
37,188
37,270
37,344
37,351
37,356
37,360
37,369
37,379
37,387
37,397
37,409
37,419
37,428
37,443
37,455
37,471
37,484
37,495
37,505
37,516
37,528
37,540
37,606
37,627
37,649
37,660
37,680
37,692
37,738
37,280
37,1879
37,209
37,1403
37,1429
37,1433
37,1481
37,814
37,916
37,1556
37,69
37,154
37,1434
37,1438
37,205
37,1731
37,739
37,1197
37,1672
37,1817
37,376
37,444
37,1402
37,1567
37,1763
37,1822
37,101
37,1318
37,1756
37,1776
37,1304
37,1508
37,630
37,675
37,14
37,80
37,1581
37,20
37,18
37,263
37,1315
37,52
38,1573
38,58
38,174
38,1833
38,96
38,249
38,636
38,1118
38,1478
38,323
38,328
38,335
38,339
38,343
38,350
38,355
38,359
38,367
38,375
38,386
38,395
38,407
38,417
38,427
38,441
38,454
38,470
38,482
38,493
38,504
38,514
38,538
38,551
38,582
38,625
38,635
38,669
38,725
